iteration,candidate_index,objective,x_n,y_n,x,y
18,0,-931.7351230262061,0.9335602053042475,0.9472379497745714,443.9656502315495,457.97166056916114
18,1,-924.4302908932295,0.932821370260257,0.9493638606231087,443.2090831465032,460.14859327806334
18,2,-922.8166649958061,0.9320755295212932,0.9491283648618778,442.4453422298043,459.90744561856286
18,3,-921.5197080872138,0.9316321527851015,0.9490020011458506,441.9913244519439,459.77804917335106
18,4,-926.3422666859879,0.9352566900027809,0.9472256148627144,445.70285056284763,457.95902961941954
18,5,-922.2082857540108,0.9323388274435291,0.9494018322110498,442.71495930217384,460.187476184115
18,6,-925.8686874571687,0.9330762733768241,0.9492566614598406,443.47010393786786,460.03882133487673
18,7,-922.4831049222025,0.9325355509192194,0.94949341209252,442.9164041412806,460.2812539827405
18,8,-931.9851560211606,0.9333634818285573,0.9472379497745714,443.7642053924427,457.97166056916114
18,9,-926.2917814791324,0.9336636705257828,0.949490895005711,444.0715986184016,460.2786764858481
18,10,-17.937945436436735,0.1670502385923276,0.8263954468210418,-340.94055568145654,334.2289375447468
18,11,-928.8870573086735,0.9341615056270574,0.9489805796512156,444.58138176210673,459.7561135628448
18,12,364.542041627702,0.994847712649863,0.6494739699022636,506.72405775345976,153.0613451799179
18,13,-927.9147491748474,0.9335053333666588,0.9490383683532164,443.90946136745856,459.8152891936936
18,14,-927.0725109104421,0.9330192573007132,0.9489807072534286,443.41171947593034,459.75624422751093
18,15,-913.1429520144976,0.9335430294011077,0.9514065681483151,443.94806210673426,462.2403257838747
18,16,-362.65610339062414,0.1685677022618003,0.6239939925923972,-339.3866728839165,126.96984841461472
18,17,-928.923248929201,0.9327527964612443,0.9484123643881328,443.1388635763142,459.174261133448
18,18,-925.1051758236058,0.9326373717029355,0.9491299847998028,443.02066862380593,459.9091044349981
18,19,-927.3849328265849,0.9331820424339309,0.9490018380567745,443.5784114523452,459.7778821701371
18,20,83.85346784525125,0.4794246997761906,0.2943526499763488,-21.069107429180804,-210.58288642421883
18,21,-924.3320031497426,0.9331322602669267,0.9495726412551588,443.527434513333,460.36238464528265
18,22,-920.7486889961049,0.9331172800960714,0.9501357783709381,443.51209481837714,460.9390370518406
18,23,-927.6501885821872,0.9336054297090183,0.9491501270873184,444.0119600220347,459.929730137414
18,24,-928.9059738974922,0.9342787599775723,0.9489917077381607,444.701450217034,459.7675087238765
18,25,-929.1263196267421,0.9333065549678841,0.9486275032967724,443.7059122871133,459.3945633758949
18,26,-232.97390383440026,0.446875958495899,0.1722688670770799,-54.39901850019942,-335.5966801130702
18,27,-931.6908656705195,0.9335898457839719,0.9472379497745714,443.9960020827872,457.97166056916114
18,28,-928.8771845421313,0.9336969066114787,0.9488539940282746,444.10563237015424,459.62648988495323
18,29,-930.3497162638183,0.9342475624731934,0.9473287332479791,444.66950397255005,458.06462284593056
18,30,-928.4598606675397,0.9332120210452634,0.9487624788646253,443.6091095503497,459.5327783573763
18,31,-929.6565482763776,0.9332663711802807,0.9484540248396338,443.6647640886074,459.216921435785
18,32,-927.1277470394466,0.9324083063712154,0.9486071772999365,442.7861057241246,459.37374955513496
18,33,-929.3285690034302,0.9346664418623032,0.9487044043047241,445.09843646699846,459.4733100080375
18,34,-931.5614405971482,0.9335602053042475,0.9475603847463702,443.9656502315495,458.30183398028305
18,35,69.14638880907263,0.4354988584363556,0.016661105688740352,-66.04916896117186,-494.9390277747299
18,36,-926.3340264896736,0.9330762733768241,0.9491650815783704,443.47010393786786,459.9450435362513
18,37,-928.2641911790552,0.9343197149317961,0.9492315739349539,444.7433880901592,460.01313170939284
18,38,-919.6245335491686,0.9316321527851015,0.9492613222166078,441.9913244519439,460.04359394980634
18,39,-926.0245371737436,0.9329714666913967,0.9491650815783704,443.36278189199027,459.9450435362513
18,40,90.75147387943258,0.8608207974983003,0.7113125716954413,369.4804966382595,216.38407341613186
18,41,-926.7602426682506,0.9335603503995769,0.9493363846341754,443.9657988091667,460.12045786539557
18,42,-927.1034878256544,0.9331143215249682,0.9490268392765229,443.50906524156744,459.8034834191594
18,43,-929.807284270498,0.9339050995593343,0.9485793535580307,444.31882194875834,459.3452580434234
18,44,15.03671282807278,0.8052742284146556,0.8108118946392746,312.6008098966073,318.2713801106172
18,45,-38.461478122799065,0.7139659876421779,0.6175455428238458,219.10117134559016,120.36663585161807
18,46,-929.6701826395183,0.9345670068506985,0.9475487728775821,444.99661501511525,458.2899434266441
18,47,-927.3010573695456,0.9324083063712154,0.9485724175155046,442.7861057241246,459.3381555358767
18,48,-929.5950955288588,0.9333065549678841,0.9484887846240657,443.7059122871133,459.2525154550433
18,49,-925.0316807285832,0.9342640750554339,0.9500509051232515,444.68641285676426,460.85212684620956
